Technology,KPI_Name,Column_Name,Source_Sheet,Aggregation,Threshold,Operator,Weight,Dimension,Severity,Definition,Effect
UMTS,Inter-frequency HO Success Rate,VS.HHO.InterFreqOut.Success Ratio,3G_Cell_CSBH|3G_NWBH|3G_NW_Daily,Both,92,>=,1,Mobility,Critical,Success rate of handover between different UMTS frequencies,Low rate means poor mobility between frequency layers
LTE,RRC Connection Success Rate,RRC Setup Success Rate(%),4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,98.7,>=,2,Accessibility,Critical,Percentage of successful RRC connection establishments between UE and network,"Low rate means UEs cannot establish radio connection, users cannot access LTE service"
LTE,E-RAB Establishment Success Rate,E-RAB Setup Success Rate,4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,98.7,>=,2,Accessibility,Critical,Percentage of successful Evolved Radio Access Bearer setups for data transmission,"Low rate means UEs cannot establish radio bearer, users cannot transmit/receive data"
LTE,Call Drop Rate (All),Service Drop Rate (All),4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,1,<=,2,Retainability,Critical,Percentage of services (voice/data) dropped after successful establishment,"High drop rate means poor service retainability, users experience frequent interruptions"
LTE,Intra-Freq HO Success Rate,Intra-HO execute Success Rate,4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,98,>=,2,Mobility,Critical,Success rate of handover between cells on the same frequency,Low rate causes service drops during mobility within same frequency layer
LTE,Inter-Freq HO Success Rate,Inter-Freq Handover Success Rate (%)(%),4G_NWBH|4G_NW_Daily,Whole Network,97,>=,1,Mobility,Critical,Success rate of handover between cells on different frequencies,"Low rate causes service disruptions when moving between frequency layers, essential for spectrum efficiency"
LTE,Uplink Packet Loss Rate,Uplink Packet Loss Rate,4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,0.5,<=,1,Retainability,Critical,Percentage of data packets lost in the uplink direction,"High rate means poor uplink quality, users experience slow uploads and poor voice/video call quality"
LTE,Downlink Packet Loss Rate,Downlink Packet Loss,4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,0.5,<=,1,Retainability,Critical,Percentage of data packets lost in the downlink direction,"High rate means poor downlink quality, users experience buffering, slow browsing, and poor streaming"
LTE,S1-Signal Connection Est. SR,S1-Signal Connection Establishment Success Rate (%)(%),4G_NWBH|4G_NW_Daily,Whole Network,97,>=,1,Accessibility,Critical,Percentage of successful S1 setup procedures between eNodeB and EPC,"Low rate means UEs cannot establish connection to core network, users cannot access network services"
LTE,CSFB Preparation Success Rate,CSFB Preparation Success Rate,4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,98,>=,2,Accessibility,Critical,Success rate of preparing Circuit Switched Fallback from LTE to 2G/3G for voice calls,"Low rate means voice calls (CSFB) fail to establish, users on LTE cannot make or receive voice calls"
LTE,DL PRB Utilization (BH),DL PRB Utilizing Rate(%),4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,70,<=,1,Resource Utilization,Major,Percentage of DL Physical Resource Blocks used during busy hour,"High PRB utilization indicates cell congestion, needs expansion or optimization"
LTE,UL PRB Utilization (BH),UL PRB Utilizing Rate(%),4G_Cell_BH|4G_NWBH|4G_NW_Daily,Both,70,<=,1,Resource Utilization,Major,Percentage of UL Physical Resource Blocks used during busy hour,"High PRB utilization indicates cell congestion, needs expansion or optimization"
